Museum,Num,Subspecies,Sex,Locality,region,Type,Island,lat,long,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL
BMNH,71.2553,T. m. minor,f,"Beaufort Forest Reserve, N. Borneo",NE,,Borneo,5.58,116.25,33.59,33.34,17.18,11.91,,18.77,,14.48,14.24,11.58,19.7,16.01,35.63,32.6,22.06,14.17,9.51,11.08,7.05,2.52,25.56,16.09
BMNH,71.2554,T. m. minor,m,"Tinampah, Bundu Tuwan Forest, N. Borneo",NE,,Borneo,6,116.53,33,32.67,16.96,11.69,,18.13,,14.05,13.14,11.23,18.71,16.06,35.13,32.08,21.52,13.12,9.32,10.54,6.73,2.42,25.16,16.19
BMNH,71.2555,T. m. minor,m,North Borneo,NE,,Borneo,x,x,34.64,33.95,18.33,12.33,,,,14.4,13.87,10.85,18.94,16.46,36.59,32.74,23.15,14.59,9.19,11.39,,,,
BMNH,71.2556,T. m. minor,,N. Borneo,NE,,Borneo,x,x,34.61,34.04,,,,,,14.22,13.71,11.27,,15.96,36.9,34.27,23.04,14.44,9.03,10.72,,,,
BMNH,76.5221,T. m. minor,,Mainland opposite Labuan,NE,cotype,Borneo,5.33,115.44,,,18.52,12.71,,20.2,,,13.45,11.55,19.42,15.35,,,23.92,15.37,,10.83,6.69,2.56,26.29,16.7
BMNH,76.5222,T. m. minor,,Mainland opposite Labuan,NE,cotype,Borneo,5.33,115.44,,,18.01,12.06,,19.33,,,,,,,,,23.66,15.28,,10.35,6.45,2.43,26.88,17.11
BMNH,76.5223,T. m. minor,,Mainland opposite Labuan,NE,cotype,Borneo,5.33,115.44,,,17.43,12.36,,18.5,,14.5,12.55,10.39,18.48,16.64,,,22.05,13.71,,10.25,6.07,1.99,25.42,16.68
BMNH,76.5224,T. m. minor,,Mainland opposite Labuan,NE,cotype,Borneo,5.33,115.44,,,17.98,12.2,,18.96,,14.23,13.83,11.19,19.83,15.16,,,22.62,14.28,,10.33,6.39,2.25,26.02,16.54
BMNH,76.5225,T. m. minor,,Mainland opposite Labuan,NE,cotype,Borneo,5.33,115.44,,,17.92,12.51,,18.81,,,13.64,11.51,,,,,23.29,14.6,,10.3,6.62,2.08,26.04,16.53
BMNH,81.3155,T. m. humeralis,,S. Sumatra,Sumatra,,Sumatra,x,x,,,18.34,12.83,,19.15,,14.73,14.19,11.97,,16.44,,,23.16,14.43,,11.03,7.09,2.48,26.33,17.1
BMNH,85.8195,T. m. malaccana,,Johore (W. Davison),S,,Malay Peninsula,2.05,103.36,,,17.96,12.57,,18.83,,,13.37,11.3,,,,,22.71,14.36,,10.33,6.85,2.15,26.1,16.85
BMNH,88.8135,T. m. minor,,"Baram R., N.W. Borneo",N,,Borneo,4.22,114.24,,,17.15,11.78,,18.05,,14.4,14.46,11.71,19.71,15.5,,,22.43,13.89,,10.85,6.82,2.3,25.05,15.79
BMNH,88.8136,T. m. minor,,"Trusan, N.W. Borneo",N,,Borneo,4.78,115.27,33.64,33.27,18,12.79,,18.98,,14.79,13.48,11.37,,16.51,,32.9,22.91,14.31,,10.61,6.8,2.55,,
BMNH,92.278,T. m. minor,m,"Mt. Dulit, North Borneo",N,,Borneo,3.55,114.25,34.05,33.55,17.6,11.85,,19.02,,14.29,13.58,11.15,,16.11,36.94,32.85,,14.17,9.24,10.56,6.5,2.25,26.18,16.89
BMNH,92.279,T. m. minor,f,"Mt. Dulit, N. Borneo",N,,Borneo,3.55,114.25,,,17.31,12.29,,18.33,,,14.16,11.48,,16.91,35.49,,22.34,13.18,,10.34,6.53,2.31,25.75,16.36
BMNH,93.414,T. m. minor,,"Kina Balu, N. Borneo",NE,,Borneo,6.07,116.56,32.48,32.35,16.8,12.06,,18.6,,13.87,13.68,10.97,18.75,15.3,,22.13,13.76,,,9.66,6.07,2.14,24.67,15.93
BMNH,94.625,T. m. minor,m,"Tutan River, Baram",N,,Borneo,4.18,114.33,33.5,,16.98,11.39,,18.15,,,14.2,11.08,20.41,16.64,36.68,32.93,22.5,13.64,9.86,10.55,6.86,2.25,25.68,15.84
BMNH,94.729,T. m. caedis,,Banguey Island,Banggi,,Banggi,7.28,117.1,,,,,,18.29,,,,,,,,,,,,10.46,6.74,2.27,25.47,16.52
BMNH,99.12911,T. m. minor,m,"Mt. Dulit, Baram R.",N,,Borneo,3.55,114.25,32.69,32.6,16.73,11.81,,18.07,,13.47,13.74,11.32,19.25,15.5,35.21,32.41,22.31,13.74,9.58,10.07,6.64,2.37,25.33,15.79
